winner,turns,largest_army,longest_road,points_0,points_1,points_2,points_3,smart,trial
0.0,137,,0.0,11,4,6,2,0,391
1.0,102,,1.0,9,10,2,4,1,392
0.0,85,,1.0,10,8,3,6,1,393
3.0,124,3.0,3.0,5,3,6,11,0,394
2.0,55,,2.0,2,3,10,3,3,395
0.0,141,,0.0,10,4,3,4,2,396
1.0,102,1.0,0.0,6,10,3,3,2,397
1.0,158,0.0,3.0,9,10,7,7,3,398
2.0,103,2.0,2.0,7,2,10,4,0,399
1.0,130,,3.0,5,10,4,6,0,400
0.0,145,,0.0,10,6,2,3,1,401
1.0,118,,0.0,8,10,2,7,3,402
3.0,100,,3.0,4,2,3,10,0,403
2.0,143,2.0,2.0,5,7,11,5,0,404
3.0,128,,3.0,4,4,4,10,3,405
3.0,120,2.0,1.0,2,9,4,10,1,406
1.0,78,,1.0,5,10,2,2,1,407
3.0,92,,3.0,3,6,2,10,3,408
1.0,114,0.0,1.0,5,10,4,4,1,409
2.0,59,2.0,2.0,3,2,10,4,3,410
,200,2.0,0.0,8,6,9,7,0,411
2.0,119,2.0,2.0,3,2,11,8,3,412
1.0,82,1.0,1.0,7,10,3,3,2,413
2.0,155,,2.0,3,6,11,6,3,414
,200,,1.0,4,4,7,6,3,415
0.0,121,,1.0,10,9,7,4,2,416
,200,,2.0,6,6,7,9,3,417
0.0,129,0.0,0.0,11,8,2,4,1,418
3.0,112,,3.0,3,5,2,10,3,419
1.0,106,2.0,1.0,3,11,9,4,3,420
3.0,104,3.0,3.0,6,3,2,13,1,421
3.0,144,,3.0,2,5,4,10,3,422
3.0,124,,3.0,2,3,6,10,3,423
,200,0.0,2.0,8,4,8,6,2,424
3.0,152,3.0,3.0,3,6,4,10,2,425
1.0,54,,1.0,2,10,4,3,1,426
3.0,116,,3.0,2,3,6,10,3,427
0.0,157,,3.0,10,5,6,8,3,428
3.0,112,,3.0,3,3,2,10,3,429
3.0,92,,3.0,3,3,2,10,3,430
0.0,121,,0.0,11,4,2,5,0,431
,200,,0.0,9,4,2,4,0,432
1.0,102,,1.0,3,10,2,2,1,433
2.0,75,,2.0,4,5,10,3,2,434
0.0,97,0.0,0.0,12,2,6,2,2,435
0.0,113,,0.0,10,4,3,7,3,436
2.0,83,,2.0,4,5,10,4,2,437
2.0,107,,1.0,2,7,10,2,2,438
2.0,99,,1.0,5,5,10,3,1,439
2.0,123,0.0,1.0,7,4,10,2,2,440
1.0,98,,1.0,3,11,4,4,1,441
,200,,3.0,3,2,5,7,3,442
1.0,194,1.0,3.0,6,10,4,9,3,443
0.0,117,0.0,1.0,10,7,2,2,1,444
1.0,146,,1.0,3,10,2,2,1,445
0.0,193,1.0,0.0,10,7,8,8,2,446
2.0,71,,3.0,2,2,10,4,3,447
2.0,143,0.0,1.0,6,6,10,6,2,448
1.0,86,,1.0,2,10,2,3,1,449
0.0,193,0.0,3.0,10,5,4,9,3,450
0.0,173,0.0,2.0,11,4,7,4,1,451
0.0,141,0.0,0.0,10,4,4,2,2,452
2.0,155,,1.0,7,8,10,7,3,453
0.0,177,3.0,0.0,10,4,4,5,0,454
2.0,103,2.0,2.0,3,6,10,2,1,455
3.0,124,,3.0,3,3,2,10,3,456
1.0,66,1.0,0.0,5,10,3,2,1,457
2.0,155,2.0,2.0,6,2,10,8,0,458
1.0,134,,1.0,2,10,6,2,1,459
3.0,168,3.0,2.0,2,4,8,11,1,460
1.0,78,1.0,1.0,3,10,7,4,2,461
3.0,68,,3.0,2,2,4,10,2,462
3.0,104,,0.0,5,5,2,10,1,463
1.0,170,,1.0,5,10,3,5,1,464
0.0,173,,0.0,10,2,3,5,0,465
3.0,112,,3.0,3,2,4,11,3,466
,200,0.0,2.0,5,4,9,6,2,467
0.0,157,,2.0,10,3,5,5,2,468
